req,origin_station,destination_station,start_driving_time,arriving_time,Rev
606,30,79,177,178,329
606,30,82,177,178,329
606,31,2,177,178,329
606,31,32,177,178,329
606,31,33,177,178,329
606,31,34,177,178,329
606,31,35,177,178,329
606,31,43,177,178,329
606,31,44,177,178,329
606,31,45,177,178,329
606,31,52,177,178,329
606,31,62,177,178,329
606,31,71,177,178,329
606,31,75,177,178,329
606,31,79,177,178,329
606,31,82,177,178,329
606,36,2,177,178,329
606,36,32,177,178,329
606,36,44,177,178,329
606,36,45,177,178,329
606,36,52,177,178,329
606,36,75,177,178,329
606,36,82,177,178,329
606,40,2,177,178,329
606,40,32,177,178,329
606,40,33,177,178,329
606,40,34,177,178,329
606,40,35,177,178,329
606,40,44,177,178,329
606,40,45,177,178,329
606,40,52,177,178,329
606,40,62,177,178,329
606,40,71,177,178,329
606,40,75,177,178,329
606,40,79,177,178,329
606,40,82,177,178,329
606,54,2,177,178,329
606,54,32,177,178,329
606,54,33,177,178,329
606,54,34,177,178,329
606,54,35,177,178,329
606,54,43,177,178,329
606,54,44,177,178,329
606,54,45,177,178,329
606,54,52,177,178,329
606,54,53,177,178,329
606,54,62,177,178,329
606,54,71,177,178,329
606,54,75,177,178,329
606,54,79,177,178,329
606,54,82,177,178,329
606,61,2,177,178,329
606,61,32,177,178,329
606,61,52,177,178,329
606,61,62,177,178,329
606,61,75,177,178,329
606,61,79,177,178,329
606,70,2,177,178,329
606,70,32,177,178,329
606,70,33,177,178,329
606,70,34,177,178,329
606,70,35,177,178,329
606,70,44,177,178,329
606,70,45,177,178,329
606,70,52,177,178,329
606,70,62,177,178,329
606,70,71,177,178,329
606,70,75,177,178,329
606,70,79,177,178,329
606,70,82,177,178,329
606,76,2,177,178,329
606,76,32,177,178,329
606,76,33,177,178,329
606,76,34,177,178,329
606,76,35,177,178,329
606,76,44,177,178,329
606,76,45,177,178,329
606,76,52,177,178,329
606,76,62,177,178,329
606,76,71,177,178,329
606,76,75,177,178,329
606,76,79,177,178,329
606,76,82,177,178,329
609,40,63,178,179,379
609,70,63,178,179,379
